episode_no	reward	Temporal Difference Error
1	43.40	0.000000
2	44.80	13.421912
3	52.50	16.863100
4	23.20	22.288551
5	41.30	27.017330
6	43.10	25.642950
7	27.70	12.573062
8	12.80	11.950784
9	43.20	46.368267
10	34.00	17.076046
11	35.30	8.449931
12	34.60	19.547543
13	41.70	17.298286
14	26.40	17.698975
15	35.00	15.099914
16	34.80	14.524288
17	38.60	32.387760
18	22.80	19.840496
19	35.40	17.426279
20	41.30	24.649134
21	29.40	9.412014
22	34.80	2.200120
23	42.60	15.391105
24	29.00	16.167006
25	33.50	11.896690
26	35.30	3.638556
27	49.40	2.613007
28	47.20	13.151684
29	37.10	2.534050
30	33.40	12.492012
31	16.20	1.761132
32	30.30	14.189370
33	20.90	2.370990
34	35.70	1.749511
35	49.10	20.588896
36	43.10	10.545861
37	28.60	2.129632
38	34.30	1.907304
39	30.40	2.491595
40	25.90	2.048977
41	43.30	13.205667
42	28.90	1.670027
43	38.20	7.483908
44	34.50	2.690060
45	40.40	2.529337
46	32.50	1.541348
47	39.10	2.326933
48	40.80	7.822898
49	37.30	33.641148
50	31.80	2.476964
51	38.00	2.555421
52	34.80	6.867990
53	33.80	2.160763
54	30.90	1.617943
55	45.10	9.781852
56	44.10	1.621007
57	45.20	1.382324
58	38.50	2.846330
59	48.00	1.675263
60	44.00	1.575761
61	44.90	1.797102
62	27.50	7.892478
63	38.90	1.904641
64	34.50	2.138543
65	20.80	25.809490
66	54.40	1.848620
67	41.40	1.171714
68	49.50	7.073534
69	46.00	16.177660
70	29.60	10.278275
71	32.50	1.510624
72	29.50	8.711482
73	34.70	32.825294
74	48.00	2.631490
75	33.10	2.407314
76	44.30	2.127756
77	46.20	1.634227
78	27.00	20.874643
79	34.60	1.332661
80	42.90	24.764318
81	40.90	1.820597
82	36.50	2.823691
83	46.40	1.836873
84	37.00	1.047859
85	48.50	2.063024
86	33.30	4.978906
87	47.30	1.290218
88	47.10	12.322359
89	36.30	1.714997
90	36.40	23.335604
91	32.90	1.117535
92	40.70	1.981324
93	32.30	0.950404
94	40.00	23.724636
95	39.60	15.717930
96	24.50	1.334065
97	46.50	7.319594
98	38.60	18.771961
99	25.00	9.892912
100	28.10	32.614185
